study,normal,cancer
ACC,1276.82,1174.31
BLCA,236.24,238.57
BRCA,209.67,282.28
CESC,219.78,152.74
CHOL,842.42,339.5
COAD,171.4,218.14
DLBC,8.4,138.37
ESCA,158.59,107.12
GBM,616.65,384.2
HNSC,182.32,129.13
KICH,710.31,381.37
KIRC,785.79,377.91
KIRP,748.81,447.92
LAML,128.4,82.06
LGG,616.65,571.57
LIHC,624.21,765.52
LUAD,179.16,165.18
LUSC,176.23,143.37
OV,255.73,151.12
PAAD,95.07,175.58
PCPG,2654.45,432.59
PRAD,242.78,360.5
READ,168.36,192.67
SARC,478.38,182.83
SKCM,163.91,242.46
STAD,111.37,121.41
TGCT,177.83,234
THCA,632.4,739.78
THYM,8.47,198.43
UCEC,211.17,303.01
UCS,204.65,176.15